2024-11-19 17:08:03 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 17:08:04 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 17:08:04 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 17:08:04 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 17:08:05 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:08:05 INFO  LoginPage:65 - Fetch page title: Login - HP Banking
2024-11-19 17:08:05 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 17:08:05 INFO  LoginPage:41 - Minal_Ch
2024-11-19 17:08:05 INFO  LoginPage:43 - 12345
2024-11-19 17:08:05 INFO  LoginPage:46 - Sign In button clicked
2024-11-19 17:08:06 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:08:06 INFO  LoginPage:79 - Fetch page title: User Dashboard - HP Banking
