2024-11-20 16:01:17 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-20 16:01:19 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-20 16:01:19 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-20 16:01:19 INFO  LoginPageTests:23 - Login Page is Initialised
2024-11-20 16:01:20 INFO  ActionUtils:95 - Fetching title of page...
2024-11-20 16:01:20 INFO  LoginPage:76 - Expected page title: Login - HP Banking
2024-11-20 16:01:20 INFO  LoginPage:77 - Fetch page title: Login - HP Banking
2024-11-20 16:01:20 INFO  LoginPageTests:27 - Login Page is opened
2024-11-20 16:01:20 INFO  LoginPage:43 - Minal_Ch
2024-11-20 16:01:20 INFO  LoginPage:45 - 12345
2024-11-20 16:01:20 INFO  LoginPage:48 - Sign In button clicked
2024-11-20 16:01:32 INFO  LoginPageTests:93 - Driver tear down complete ...
